,User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher
71,107784,0449134482,8,Dances With Wolves,Michael Blake,1990,Fawcett Books
72,107784,0425157474,5,Chance,Robert B. Parker,1997,Berkley Publishing Group
73,107784,0553565915,5,Embraced by the Light,Betty J. Eadie,1994,Bantam Books
74,107784,0061042005,5,Suddenly,Barbara Delinsky,1994,HarperTorch
75,107784,084233226X,8,Desecration: Antichrist Takes the Throne (Left Behind No. 9),Tim Lahaye,2001,Tyndale House Publishers
76,107784,0425168220,5,"State of Siege (Tom Clancy's Op-Center, 6)",Tom Clancy,1999,Berkley Publishing Group
77,107784,0425136191,6,Blindsight,Robin Cook,1993,Berkley Publishing Group
78,107784,0312901437,5,James Herriots Dog Stories,James Herriot,1987,St Martins Press
79,107784,0316096199,4,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books
80,107784,0345420438,5,The Tailor of Panama,John Le Carre,1997,Ballantine Books
81,107784,0743255453,10,"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill",Ron Suskind,2004,Simon &amp; Schuster
82,107784,0446600709,5,Assumed Identity,David Morrell,1994,Warner Books
83,107784,0671003356,5,Ransom,Julie Garwood,1999,Atria
84,107784,0385419287,10,The 776 Stupidest Things Ever Said,Ross Petras,1993,Main Street Books
85,12538,0816750343,10,How to Draw Endangered Animals (How to Draw),Molly Walsh,1999,Troll Communications
86,12538,0345328175,7,The Day of the Triffids,John Wyndham,1986,Del Rey Books
87,12538,087406841X,5,A Horse for Mandy,Lurlene McDaniel,1997,Pages Publishing Group
88,12538,0380709570,5,Ralph S. Mouse (Cleary Reissue),Beverly Cleary,1993,HarperTrophy
89,12538,067102423X,8,Bag of Bones,Stephen King,1999,Pocket
90,12538,0451450523,9,The Last Unicorn,Peter S. Beagle,1994,Roc
91,12538,0060915544,9,The Bean Trees,Barbara Kingsolver,1989,Perennial
92,12538,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
93,12538,0425118703,9,Midnight,Dean R. Koontz,1995,Berkley Publishing Group
94,12538,0380752891,7,"Man from Mundania (Xanth Trilogy, No 12)",Piers Anthony,1990,Harper Mass Market Paperbacks
95,12538,0812548051,10,"Wizard's First Rule (Sword of Truth, Book 1)",Terry Goodkind,1997,Tor Fantasy
96,12538,0786819146,9,"The Eternity Code (Artemis Fowl, Book 3)",Eoin Colfer,2003,Miramax Kids
97,12538,067100042X,7,Silent Night : A Christmas Suspense Story,Mary Higgins Clark,1996,Pocket
98,12538,0312979886,5,Female Intelligence,Jane Heller,2002,St. Martin's Paperbacks
99,12538,0812967240,6,It's My F---ing Birthday : A Novel,MERRILL MARKOE,2002,Villard
100,12538,0345423615,7,The Silver Wolf,ALICE BORCHARDT,1999,Ballantine Books
101,12538,0836217241,10,The Far Side Gallery 4,Gary Larson,1993,Andrews McMeel Publishing
102,12538,034542705X,10,The Man Who Listens to Horses,Monty Roberts,1998,Ballantine Books
103,12538,0394805720,6,There's A Boy in the Girl's Bathroom,LOUIS SACHAR,1988,Yearling
104,135458,0804120021,7,Out of Sight,CHERRY ADAIR,2003,Ivy Books
105,135458,0425195139,6,Always the Bridesmaid,Whitney Lyles,2004,Berkley Publishing Group
106,135458,0618002219,2,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999,Houghton Mifflin Company
107,135458,0553579908,10,"A Clash of Kings (A Song of Fire and Ice, Book 2)",George R. R. Martin,2000,Spectra Books
108,135458,0312187459,9,The Memoirs of Cleopatra: A Novel,Margaret George,1998,St. Martin's Press
109,135458,0743422910,5,The Constant Gardener,John le Carre,2001,Pocket
110,263107,006440689X,7,On Top of Concord Hill (Little House),Maria D. Wilkes,2000,HarperCollins
111,22296,2070383733,4,Le burelain,Richard Jorif,1991,Gallimard
112,232624,0966941411,7,Dreamer,Richard L. Miller,2000,Two-Sixty Press
113,241198,3518278746,5,Die Macht der Computer und die Ohnmacht der Vernunft,Joseph Weizenbaum,1978,Suhrkamp
114,241198,3442059976,6,Eine Tote kehrt zurÃ?Â¼ck.,Patricia Wentworth,1998,Goldmann
115,241198,3480218709,9,Das Krokodil. ( Ab 4 J.).,Valerie Tracqui,2003,Esslinger Verlag Schreiber
116,241198,3442720001,7,Das Halsband der Taube.,Ernst W. Heine,1996,btb
117,223619,8520912427,6,Diario Do Farol: Romance,Jooao Paulo de Almeid Magalhhaes,2002,Editora Nova Fronteira
118,95476,0609610864,9,Dog Is My Co-Pilot: Great Writers on the World's Oldest Friendship,Bark,2003,Crown
119,98758,088882162X,7,Deadly Encounters: True Crime Stories of Alberta,B. Smith,1994,Not Avail
120,98758,0743457684,9,It's Good to Be the King...Sometimes,Jerry Lawler,2002,WWE
121,98758,0451188519,8,"The Highland Fling Murders: A Murder, She Wrote Mystery, a Novel (Murder She Wrote (Paperback))",Jessica Fletcher,1997,Signet Book
122,98758,0425107469,8,Watchers,Dean R. Koontz,1996,Berkley Publishing Group
123,98758,0451167538,10,Different Seasons (Signet),Stephen King,2004,Signet Book
124,98758,0425118703,5,Midnight,Dean R. Koontz,1995,Berkley Publishing Group
125,98758,0684853507,9,BAG OF BONES : A NOVEL,Stephen King,1998,Scribner
126,98758,0451176464,7,Gerald's Game,Stephen King,2001,Signet Book
127,98758,0743474325,10,"Speaks the Nightbird, Volume I : Judgment of the Witch",Robert McCammon,2003,Pocket Books
128,98758,0446673544,6,Sex &amp; the City,Candace Bushnell,1997,Warner Books
129,98758,0671024248,8,Hearts In Atlantis,Stephen King,2000,Pocket
130,98758,0684853523,10,On Writing,Stephen King,2000,Scribner
131,98758,0679735771,7,American Psycho (Vintage Contemporaries),Bret Easton Ellis,2000,Vintage Books USA
132,98758,0451132378,8,Pet Sematary,Stephen King,1984,Signet Book
133,223501,0778320375,5,In Silence (Mira),Erica Spindler,2004,Mira
134,223501,0451193288,8,Reckless Endangerment,Robert K. Tanenbaum,1999,Signet Book
135,223501,0684872730,7,The Vision of Emma Blau : A Novel,Ursula Hegi,2001,Touchstone
136,223501,0451209532,8,Criminal Intent,Sheldon Siegel,2003,Signet Book
137,223501,0786867256,6,The Body of David Hayes,Ridley Pearson,2004,Hyperion
138,223501,0618002219,9,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999,Houghton Mifflin Company
139,223501,0312195516,8,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
140,223501,0553583468,7,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002,Bantam Books
141,223501,0380730847,8,The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,2002,Avon
142,223501,0743222008,7,The Vanished Man : A Lincoln Rhyme Novel,Jeffery Deaver,2003,Simon &amp; Schuster
143,223501,0375727345,9,House of Sand and Fog,Andre Dubus III,2000,Vintage Books
144,223501,0553569783,8,Heartstone,PHILLIP M. MARGOLIN,1995,Bantam
145,223501,067169071X,8,EVERYTHING SHE EVER WANTED,Ann Rule,1993,Pocket
146,223501,0345452577,7,The Conspiracy Club,JONATHAN KELLERMAN,2003,Ballantine Books
147,223501,0671001132,8,DEAD BY SUNSET : DEAD BY SUNSET,Ann Rule,1996,Pocket
148,223501,0440226104,9,Black and Blue,ANNA QUINDLEN,1999,Dell
149,223501,0679419454,7,Disclosure,Michael Crichton,1994,Alfred A. Knopf
150,223501,0316788228,9,The Pilot's Wife,Anita Shreve,2001,"Little, Brown"
151,223501,0316710571,6,Sam's Letters to Jennifer,James Patterson,2004,"Little, Brown"
152,223501,140003065X,10,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA
153,223501,0821769340,6,Cold Blooded,Lisa Jackson,2002,Zebra Books
154,223501,039914496X,9,Certain Prey,John Sandford,1999,Putnam Publishing Group
155,223501,067102535X,7,"Last Dance, Last Chance (Ann Rule's Crime Files)",Ann Rule,2002,Pocket
156,223501,0375707425,6,Embers,SANDOR MARAI,2002,Vintage
157,223501,0345411471,9,Eureka,William Diehl,2003,Fawcett Books
158,84795,0778320375,8,In Silence (Mira),Erica Spindler,2004,Mira
159,84795,0743446534,8,Twenty-Seven Bones,Jonathan Nasaw,2004,Atria
160,84795,0684851911,8,The TOWER : A Facsimile Edition,Gregg Andrew Hurwitz,1999,Simon &amp; Schuster
161,84795,0451410777,8,Sleep Tight (Onyx Book),Anne Frasier,2003,Onyx Books
162,84795,0446611611,8,City of Bones,Michael Connelly,2003,Warner Books
163,84795,0425191583,10,Imitation in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group
164,84795,0553587188,7,Lucky's Lady,TAMI HOAG,2003,Bantam
165,84795,039915180X,10,Hidden Prey,John Sandford,2004,Putnam Publishing Group
166,84795,0399151273,8,Retribution,Jilliane Hoffman,2004,G. P. Putnam's Sons
167,84795,0743245520,8,"Hello, Darkness",Sandra Brown,2003,Simon &amp; Schuster
168,84795,0446527041,8,The Crush,Sandra Brown,2002,Warner Books
169,123430,0778320375,9,In Silence (Mira),Erica Spindler,2004,Mira
170,123430,0312982003,5,"Bitter Almonds : The True Story of Mothers, Daughters, and the Seattle Cyanide Murders",Gregg Olsen,2002,St. Martin's Press
171,44252,0060900075,10,The Doors of Perception and Heaven and Hell,Aldous Huxley,1990,Perennial
172,44252,0312966970,6,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
173,44252,0312195516,10,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
174,44252,0451166582,9,The Eyes of the Dragon,Stephen King,2001,Signet Book
175,44252,0446670111,10,Einstein's Dreams,Alan Lightman,1994,Warner Books
176,44252,0345384210,10,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H. P. Lovecraft,1995,Del Rey Books
177,44252,0679785892,10,Fear and Loathing in Las Vegas : A Savage Journey to the Heart of the American Dream,HUNTER S. THOMPSON,1998,Vintage Books
178,242399,1558746803,9,"The Schwarzbein Principle: The Truth About Losing Weight, Being Healthy, and Feeling Younger",Diana Schwarzbein,1999,Health Communications
179,175100,0345254767,7,Tolkien: A Look Behind,Carter,1976,Not Avail
180,209148,0060245018,8,Newt (I Can Read),Matt Novak,1996,Harpercollins Childrens Books
181,191956,0380709953,6,Sherwood,Parke Godwin,1995,Harper Mass Market Paperbacks (Mm)
182,158295,038070384X,5,Lullaby,Ed McBain,1989,Harper Mass Market Paperbacks
183,158295,0804113424,4,House of Blues: A Skip Langdon Novel (Skip Langdon Novels (Paperback)),Julie Smith,1996,Fawcett Books
184,158295,0812523555,6,Borrower of the Night,Elizabeth Peters,1990,Tor Books (Mm)
185,158295,0553579142,7,Cry Dance,Kirk Mitchell,2000,Bantam Books
186,158295,0399147357,8,Dead Sleep,Greg Iles,2001,G. P. Putnam's Sons
187,158295,0451202511,5,Murder Can Upset Your Mother: A Desiree Shapiro Mystery (Desiree Shapiro Mysteries (Paperback)),Selma Eichler,2001,Signet Book
188,158295,0345333551,8,Lucid Dreaming,Stephen Laberge,1986,Ballantine Books
189,158295,0425142442,6,Final Viewing: A Bill Hawley Undertaking,Leo Axler,1994,Berkley Publishing Group
190,158295,0961587512,7,Gem Elixirs and Vibrational Healings (Gem Elixirs &amp; Vibrational Healing),Gurudas,1986,Cassandra Press
191,158295,0515129704,5,Cold Edge,Robert W. Walker,2001,Jove Books
192,158295,0451192311,6,Eat Drink and Be Wary: A Pennsylvania Dutch Mystery With Recipes (PennDutch Mysteries),Tamar Myers,1998,Signet Book
193,158295,096177133X,8,Flower Essences: Reordering Our Understanding and Approach to Illness and Health,Machaelle Small Wright,1988,Perelandra
194,158295,0671004565,7,We'll Meet Again,Mary Higgins Clark,2000,Pocket
195,158295,0805019359,7,J is for Judgment,Sue Grafton,1993,Henry Holt &amp; Company
196,158295,0380730847,7,The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,2002,Avon
197,158295,0345366239,5,The Eight,Katherine Neville,1995,Ballantine Books
198,158295,042518630X,5,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
199,158295,0451202538,5,Hangman,Michael Slade,2001,Signet Book
200,158295,0670813648,7,Misery,Stephen King,1990,Viking Books
201,158295,0425124347,6,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group
202,158295,0380703882,6,Communion : A True Story,Whitley Strieber,1988,Avon
203,158295,0399142851,7,Unnatural Exposure,Patricia Daniels Cornwell,1997,Putnam Pub Group
204,158295,0671867172,5,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket
205,158295,0671673688,6,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket
206,158295,0679454470,7,"The Vampire Armand : The Vampire Chronicles (Rice, Anne, Vampire Chronicles)",Anne Rice,1998,Alfred A. Knopf
207,158295,0553279556,7,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam
208,158295,0805019367,7,"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Sue Grafton,1994,Henry Holt &amp; Company
209,158295,0425121631,8,Rules of Prey,John Sandford,1992,Berkley Publishing Group
210,158295,0440216842,5,The Carousel,Belva Plain,1998,Dell
211,158295,0440225825,8,Move to Strike,Perri O'Shaughnessy,2001,Island
212,158295,0805036504,7,N Is for Noose (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1998,Henry Holt &amp; Company
213,158295,0449219461,6,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1993,Fawcett Books
214,158295,0394587863,9,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1990,Knopf
215,158295,0312950489,6,The Black Echo (Detective Harry Bosch Mysteries),Michael Connelly,1993,St. Martin's Press
216,158295,0553106643,8,Fear Nothing,DEAN KOONTZ,1998,Bantam
217,158295,0553802496,8,Odd Thomas,Dean Koontz,2003,Bantam
218,158295,0937611018,8,You Can Heal Your Life/101,Louise L. Hay,1985,Hay House
219,158295,0451149513,5,It,Stephen King,1987,New Amer Library
220,158295,051513287X,7,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books
221,158295,0425132951,6,The House of Thunder,Dean R. Koontz,1993,Berkley Publishing Group
222,158295,0679401385,6,Mr. X,Peter Straub,1999,Random House Trade
223,158295,042513525X,6,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group
224,158295,0553571818,7,Long After Midnight,IRIS JOHANSEN,1997,Bantam
225,158295,0451179188,5,Throat,Peter Straub,1999,Signet Book
226,158295,0345334019,7,Escape the Night,Richard North Patterson,1995,Ballantine Books
227,158295,0449223043,7,Guardian,John Saul,1995,Fawcett Books
228,158295,067101420X,5,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,2002,Pocket
229,158295,0446603392,5,Strange Highways,Dean Koontz,1996,Warner Books
230,158295,0553275704,6,The Sisterhood,Michael Palmer,1991,Bantam Books
231,158295,0786867248,7,The Art of Deception,Ridley Pearson,2002,Hyperion Press
232,98391,0843952776,9,The Pirate Next Door,Jennifer Ashley,2003,Leisure Books
233,98391,0312854935,9,"Chapel Noir: A Novel of Suspense featuring Sherlock Holmes, Irene Adler, and Jack the Ripper",Carole Nelson Douglas,2001,Forge
234,98391,0425182029,9,Death Is a Cabaret (Antique Lover's Mysteries (Prime Crime)),Deborah Morgan,2001,Berkley Publishing Group
235,98391,0451210646,10,Undone,Virginia Henley,2003,Signet Book
236,98391,0743417941,8,The Enchantment (Sonnet Books),Pam Binder,2001,Pocket
237,98391,0060567104,8,Indelible : A Novel,Karin Slaughter,2004,William Morrow
238,98391,0451411307,8,Into the Fire,Jessica Hall,2004,Onyx Books
239,98391,076530919X,9,God Save the Mark : A Novel of Crime and Confusion,Donald E. Westlake,2004,Forge Books
240,98391,0312992327,9,Public Displays of Affection,Susan Donovan,2004,St. Martin's Paperbacks
241,98391,0743463544,8,The Man I Should Have Married,Pamela Redmond Satran,2003,Downtown Press
242,98391,1576737365,9,Go Down to Silence: A Novel,G. K. Belliveau,2001,Multnomah Publishers
243,98391,0312989431,5,Deadly Caress (A Francesca Cahill Romance),Brenda Joyce,2003,St. Martin's Paperbacks
244,98391,0786868082,9,The Healing Power of Pets: Harnessing the Ability of Pets to Make and Keep People Happy and Healthy,Marty Becker,2002,Hyperion
245,98391,0786868058,9,Cold Pursuit,T. Jefferson Parker,2003,Hyperion
246,98391,0312876157,9,Tides of Darkness (Avaryan Rising),Judith Tarr,2002,Tor Books
247,98391,0060089296,8,Kiss Lonely Goodbye,Lynn Emery,2003,HarperTorch
248,98391,0842387765,10,Crucible (Left Behind Military #2),Mel Odom,2004,Tyndale House Publishers
249,98391,0756401496,10,Zandru's Forge,Marion Zimmer Bradley,2003,Daw Books
250,98391,0778320065,8,Grave Concerns (Mira),Gwen Hunter,2004,Mira Books
251,98391,0802733735,9,Silence Is Golden: A Hilda Johansson Mystery (Hilda Johansson Mysteries (Hardcover)),Jeanne M. Dams,2002,Walker &amp; Company
252,98391,0060006617,10,A Perfect Bride,Samantha James,2004,Avon
253,98391,1581823657,10,The Sitting Sisters: A Novel,Martha Randolph Carr,2003,Cumberland House Publishing
254,98391,0373250630,8,Tales Of A Drama Queen (Red Dress Ink),Lee Nichols,2004,Red Dress Ink
255,98391,0345428226,9,Hotspur,RITA MAE BROWN,2002,Ballantine Books
256,98391,0373250665,8,Summer In The Land Of Skin (Red Dress Ink),Jody Gehrman,2004,Red Dress Ink
257,98391,0974207403,8,The Basket Maker,Kate Niles,2004,GreyCore Press
258,98391,0553584758,9,"Devlin's Luck (Sword of Change, Book 1)",Patricia Bray,2002,Spectra
259,98391,0765303329,9,The Weatherman's Daughters: A John Denson Mystery,Richard Hoyt,2003,Forge
260,98391,1590580745,9,Morgue Mama: The Cross Kisses Back,C. R. Corwin,2003,Poisoned Pen Press
261,98391,0312310676,10,Fogbound (N/a),Joseph T Klempner,2003,St. Martin's Minotaur
262,98391,0312281935,9,In My Bedroom,Donna Hill,2004,St. Martin's Press
263,98391,0743453484,8,"Beachcomber (Robards, Karen)",Karen Robards,2003,Atria Books
264,98391,0345448294,10,Cross Current,CHRISTINE KLING,2004,Ballantine Books
265,98391,0425195244,10,Beauty Queen (Berkley Sensation),Julia London,2004,Berkley Publishing Group
266,98391,0060185287,8,Flight Lessons,Patricia Gaffney,2002,HarperCollins
267,98391,0373293089,8,The Unexpected Wife (Historical),Mary Burton,2004,Harlequin
268,98391,0446678996,8,Vincalis the Agitator,Holly Lisle,2002,Aspect
269,98391,0843951141,8,Chase the Wind,Cindy Holby,2002,Leisure Books
270,98391,0451208412,9,Racing Moon,Cassie Edwards,2003,Signet Book
271,98391,0525946896,8,Hornet Flight,Ken Follett,2002,Dutton Books
272,98391,0743477316,10,Oyster Blues : A Novel,Michael McClelland,2004,Pocket Star
273,98391,0446610828,8,A Princess of the Aerie,John Barnes,2003,Aspect
274,98391,0804120072,10,"Heat Wave (Landis, Jill Marie)",JILL MARIE LANDIS,2004,Ballantine Books
275,98391,0786866039,9,The Grand Complication: A Novel,Allen Kurzweil,2001,Hyperion
276,98391,0425191923,9,A Poultice for a Healer (Chronicles of Issac of Girona),Caroline Roe,2003,Berkley Publishing Group
277,98391,0974960810,9,Jake's Burn,Randy Rawls,2004,Quiet Storm Books
278,98391,0842375481,9,Fatal Harvest,Catherine Palmer,2003,Tyndale House Publishers
279,98391,0446530115,9,The Shadow Women,Angela Elwell Hunt,2002,Warner Books
280,98391,0425194035,10,The Shiloh Sisters: A Harrison Raines Civil War Mystery (Harrison Raines Civil War Mysteries (Hardcover)),Michael Kilian,2004,Berkley Hardcover
281,98391,0373441827,8,"I Will Survive (Harlequin Flipside, No. 8)",Samantha Connolly,2004,Harlequin
282,98391,0821769227,9,Come Midnight,Veronica Sattler,2002,Zebra Books
283,98391,0843950285,8,Lone Warrior,Bobbi Smith,2002,Love Spell
284,98391,0804119511,8,What to Do About Annie,Millie Criswell,2001,Ivy Books
285,98391,0060519517,5,Midnighters #1: The Secret Hour (Midnighters),Scott Westerfeld,2004,Eos
286,98391,0802733565,8,Six-Pound Walleye: A Jake Hines Mystery (Jake Hines Mysteries (Hardcover)),Elizabeth Gunn,2001,Walker &amp; Company
287,98391,0060183896,9,Who's Afraid of Virginia Ham?,Phyllis C. Richman,2001,HarperCollins Publishers
288,98391,0312272952,9,Our Lady of Darkness: A Celtic Mystery,Peter Tremayne,2002,St. Martin's Minotaur
289,98391,0380978393,8,The Rebel : An Imagined Life of James Dean,Jack Dann,2004,William Morrow
290,98391,044900709X,9,Malice Downstream,GRAHAM THOMAS,2002,Fawcett
291,98391,1590520661,8,Passing into Light,Sharon Ewell Foster,2003,Multnomah Publishers
